id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via
745066,2026-01-11,domingo,20:00:00,SC,282.0,20,palhoca,-27.679874,-48.7037,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Queda de ocupante de veículo,Plena Noite,Chuva,Simples,Declive;Reta,Sim,Decrescente
745067,2026-01-11,domingo,16:30:00,MG,251.0,"402,4",grao mogol,-16.234138,-42.912975,0.0,2.0,0.0,Com Vítimas Feridas,Não,Demais Fenômenos da natureza,Colisão traseira,Pleno dia,Céu Claro,Simples,Aclive;Reta,Não,Crescente
745070,2026-01-11,domingo,19:50:00,GO,153.0,429,anapolis,-16.264074,-48.98258,6.0,0.0,0.0,Com Vítimas Feridas,Sim,Condutor deixou de manter distância do veículo da frente,Colisão traseira,Plena Noite,Céu Claro,Dupla,Declive,Sim,Crescente
745071,2026-01-11,domingo,18:30:00,SP,101.0,36,ubatuba,-23.455706,-44.989655,2.0,0.0,0.0,Com Vítimas Feridas,Não,Trafegar com motocicleta (ou similar) entre as faixas,Colisão transversal,Pleno dia,Céu Claro,Simples,Reta,Não,Crescente
745072,2026-01-11,domingo,19:50:00,GO,60.0,3,santo antonio do descoberto,-16.071056,-48.265793,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Saída de leito carroçável,Plena Noite,Céu Claro,Dupla,Curva,Não,Crescente
745073,2026-01-11,domingo,20:00:00,CE,116.0,"17,1",eusebio,-3.8973107,-38.503204,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Acessar a via sem observar a presença dos outros veículos,Colisão traseira,Plena Noite,Nublado,Dupla,Reta;Retorno Regulamentado,Sim,Decrescente
745074,2026-01-11,domingo,20:30:00,PE,423.0,97,garanhuns,-8.8793,-36.496056,4.0,0.0,0.0,Com Vítimas Feridas,Não,Ingestão de álcool pelo condutor,Colisão com objeto,Plena Noite,Céu Claro,Simples,Aclive;Reta,Sim,Crescente
745075,2026-01-11,domingo,19:50:00,PR,153.0,"52,1",santo antonio da platina,-23.38235,-50.060806,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Colisão traseira,Plena Noite,Céu Claro,Simples,Reta,Não,Decrescente
745076,2026-01-11,domingo,20:30:00,RJ,101.0,512,angra dos reis,-22.970657,-44.44406,0.0,0.0,1.0,Com Vítimas Fatais,Sim,Animais na Pista,Atropelamento de Animal,Plena Noite,Céu Claro,Simples,Reta,Sim,Crescente
745077,2026-01-11,domingo,19:55:00,SC,280.0,"4,8",sao francisco do sul,-26.257496,-48.62232,4.0,0.0,0.0,Com Vítimas Feridas,Sim,Condutor Dormindo,Colisão lateral sentido oposto,Plena Noite,Nublado,Dupla,Reta,Sim,Crescente
745078,2026-01-11,domingo,20:35:00,PE,428.0,"187,8",petrolina,-9.375272,-40.487835,3.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Tombamento,Plena Noite,Céu Claro,Dupla,Rotatória,Sim,Crescente
745079,2026-01-11,domingo,20:15:00,PB,101.0,"39,1",mamanguape,-6.831523,-35.137093,0.0,2.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Queda de ocupante de veículo,Plena Noite,Céu Claro,Simples,Reta,Sim,Decrescente
745080,2026-01-11,domingo,19:15:00,PR,373.0,"213,8",imbituva,-25.154743,-50.52051,0.0,1.0,0.0,Com Vítimas Feridas,Sim,Animais na Pista,Queda de ocupante de veículo,Pleno dia,Chuva,Simples,Reta,Não,Crescente
