id,data_inversa,dia_semana,horario,uf,br,km,municipio,latitude,longitude,feridos_leves,feridos_graves,mortos,classificacao_acidente,causa_principal,causa_acidente,tipo_acidente,fase_dia,condicao_metereologica,tipo_pista,tracado_via,uso_solo,sentido_via,osm_total_elementos,osm_tipos
652524,2025-01-01,quarta-feira,07:51:00,SC,470.0,72,indaial,-26.90198,-49.268745,0.0,8.0,0.0,Com Vítimas Feridas,Não,Velocidade Incompatível,Saída de leito carroçável,Pleno dia,Céu Claro,Simples,Reta,Não,Crescente,0,{}
652526,2025-01-01,quarta-feira,06:30:00,MA,226.0,"297,4",barra do corda,-5.5015135,-45.244316,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Colisão traseira,Pleno dia,Céu Claro,Simples,Curva,Sim,Decrescente,1,{'hump': 1}
652527,2025-01-01,quarta-feira,02:15:00,MT,163.0,"1044,8",matupa,-10.242796,-54.987328,0.0,0.0,0.0,Sem Vítimas,Não,Ultrapassagem Indevida,Tombamento,Amanhecer,Nublado,Simples,Aclive,Não,Crescente,0,{}
652529,2025-01-01,quarta-feira,09:50:00,SC,101.0,135,balneario camboriu,-27.00501,-48.626774,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Transitar na contramão,Colisão frontal,Pleno dia,Céu Claro,Múltipla,Reta,Sim,Crescente,29,"{'traffic_signals': 7, 'crossing': 17, 'bus_stop': 3, 'hump': 2}"
652530,2025-01-01,quarta-feira,09:55:00,PB,230.0,52,cruz do espirito santo,-7.1951,-35.0691,1.0,1.0,0.0,Com Vítimas Feridas,Sim,Demais falhas mecânicas ou elétricas,Tombamento,Pleno dia,Céu Claro,Dupla,Reta,Não,Crescente,0,{}
652531,2025-01-01,quarta-feira,09:45:00,SC,101.0,368,icara,-28.695732,-49.173473,0.0,4.0,0.0,Com Vítimas Feridas,Sim,Condutor Dormindo,Saída de leito carroçável,Pleno dia,Céu Claro,Dupla,Reta,Não,Decrescente,0,{}
652532,2025-01-01,quarta-feira,07:20:00,MG,50.0,180,uberaba,-19.778482,-47.921947,0.0,0.0,0.0,Sem Vítimas,Sim,Ingestão de álcool pelo condutor,Colisão com objeto,Pleno dia,Céu Claro,Simples,Viaduto,Sim,Crescente,2,{'bump': 2}
652533,2025-01-01,quarta-feira,09:15:00,MA,135.0,33,bacabeira,-2.831083,-44.374508,0.0,0.0,0.0,Sem Vítimas,Sim,Ausência de reação do condutor,Capotamento,Pleno dia,Céu Claro,Dupla,Reta,Não,Decrescente,0,{}
652534,2025-01-01,quarta-feira,10:00:00,SC,101.0,109,penha,-26.833351,-48.69632,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Avarias e/ou desgaste excessivo no pneu,Queda de ocupante de veículo,Pleno dia,Sol,Múltipla,Curva,Não,Decrescente,0,{}
652536,2025-01-01,quarta-feira,10:30:00,SC,470.0,7,navegantes,-26.84499,-48.71505,1.0,1.0,0.0,Com Vítimas Feridas,Sim,Transitar na contramão,Colisão frontal,Pleno dia,Céu Claro,Dupla,Aclive;Reta;Viaduto,Não,Crescente,1,{'bump': 1}
652537,2025-01-01,quarta-feira,08:20:00,MG,262.0,129,rio casca,-20.213123,-42.65722,4.0,0.0,0.0,Com Vítimas Feridas,Não,Condutor Dormindo,Colisão frontal,Pleno dia,Garoa/Chuvisco,Simples,Curva,Não,Decrescente,0,{}
652538,2025-01-01,quarta-feira,04:00:00,CE,222.0,126,itapaje,-3.6961308,-39.600758,0.0,0.0,2.0,Com Vítimas Fatais,Não,Ausência de sinalização,Atropelamento de Pedestre,Amanhecer,Nublado,Simples,Curva;Declive,Não,Decrescente,0,{}
652539,2025-01-01,quarta-feira,10:00:00,RS,116.0,"632,9",jaguarao,-32.416935,-53.235893,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Ausência de reação do condutor,Colisão com objeto,Pleno dia,Céu Claro,Simples,Reta,Não,Crescente,0,{}
652540,2025-01-01,quarta-feira,11:05:00,SC,280.0,"20,2",araquari,-26.369905,-48.682243,0.0,3.0,0.0,Com Vítimas Feridas,Sim,Velocidade Incompatível,Capotamento,Pleno dia,Céu Claro,Simples,Reta,Não,Crescente,2,{'bus_stop': 2}
652541,2025-01-01,quarta-feira,09:50:00,MG,116.0,"643,5",fervedouro,-20.661541,-42.267437,9.0,9.0,9.0,Com Vítimas Fatais,Não,Condutor deixou de manter distância do veículo da frente,Saída de leito carroçável,Pleno dia,Nublado,Simples,Reta,Não,Crescente,0,{}
652542,2025-01-01,quarta-feira,10:45:00,PR,163.0,33,santo antonio do sudoeste,-26.082714,-53.71646,0.0,3.0,0.0,Com Vítimas Feridas,Sim,Acessar a via sem observar a presença dos outros veículos,Queda de ocupante de veículo,Pleno dia,Céu Claro,Simples,Reta,Sim,Crescente,0,{}
652543,2025-01-01,quarta-feira,11:00:00,CE,222.0,"1,8",fortaleza,-3.737804,-38.57806,0.0,3.0,0.0,Com Vítimas Feridas,Sim,Condutor deixou de manter distância do veículo da frente,Queda de ocupante de veículo,Pleno dia,Céu Claro,Múltipla,Reta,Sim,Crescente,4,"{'traffic_signals': 2, 'bus_stop': 2}"
652544,2025-01-01,quarta-feira,11:00:00,PR,116.0,74,campina grande do sul,-25.365177,-49.04223,1.0,0.0,0.0,Com Vítimas Feridas,Sim,Reação tardia ou ineficiente do condutor,Saída de leito carroçável,Pleno dia,Céu Claro,Dupla,Reta,Não,Crescente,0,{}
652547,2025-01-01,quarta-feira,09:15:00,SC,282.0,"99,3",alfredo wagner,-27.700373,-49.287563,2.0,0.0,0.0,Com Vítimas Feridas,Sim,Demais falhas mecânicas ou elétricas,Colisão frontal,Pleno dia,Céu Claro,Simples,Curva,Não,Decrescente,1,{'bus_stop': 1}
652548,2025-01-01,quarta-feira,12:59:00,PR,116.0,144,mandirituba,-25.764057,-49.321163,0.0,2.0,0.0,Com Vítimas Feridas,Não,Velocidade Incompatível,Colisão traseira,Pleno dia,Céu Claro,Simples,Reta,Não,Decrescente,0,{}
652549,2025-01-01,quarta-feira,09:30:00,MG,251.0,471,francisco sa,-16.468014,-43.431213,2.0,2.0,0.0,Com Vítimas Feridas,Não,Pista Escorregadia,Colisão frontal,Pleno dia,Chuva,Simples,Curva;Declive,Não,Decrescente,0,{}
